序号,代码,名称,最新价,今日主力净占比 %,今日排名,今日涨跌 %,5日主力净占比 %,5日排名,5日涨跌 %,10日主力净占比 %,10日排名,10日涨跌 %,所属板块,板块代码
18,200025,特  力Ｂ,4.6,26.59,18,-1.5,5.77,162,-0.43,3.05,222,2.22,综合行业,BK0539
19,002612,朗姿股份,14.53,26.04,19,9.99,0.19,1056,4.16,-1.14,1224,3.64,纺织服装,BK0436
20,600679,上海凤凰,15.82,25.98,20,10.01,6.37,139,9.18,0.94,527,5.4,文教休闲,BK0740
21,300669,沪宁股份,36.79,25.79,21,0.05,16.63,12,-0.22,16.91,7,-0.27,机械行业,BK0545
22,600306,*ST商城,5.12,24.96,22,4.92,15.38,14,6.89,6.22,69,1.19,商业百货,BK0482
23,000509,*ST华塑,2.53,24.47,23,4.98,12.14,25,15.53,8.67,31,18.78,医疗行业,BK0727
24,002210,*ST飞马,2.33,24.29,24,4.95,10.33,40,13.66,2.77,246,15.35,综合行业,BK0539
25,002610,爱康科技,2.55,24.16,25,9.91,17.7,10,22.6,8.88,28,19.16,金属制品,BK0739
26,002801,微光股份,35.38,22.74,26,0.26,19.07,7,4.4,11.38,14,2.02,机械行业,BK0545
27,600097,开创国际,11.22,21.54,27,10.0,3.89,315,12.76,1.39,431,17.49,农牧饲渔,BK0433
28,002692,ST远程,2.96,20.41,28,1.72,0.78,895,2.07,-23.92,4221,-1.99,输配电气,BK0457
29,600795,国电电力,2.18,20.36,29,0.93,21.05,5,1.4,16.33,9,0.93,电力行业,BK0428
30,002499,*ST科林,4.71,20.03,30,4.9,11.28,31,9.79,6.21,70,13.49,输配电气,BK0457
31,605388,均瑶健康,21.69,19.43,31,9.99,11.65,29,18.59,7.19,54,13.5,食品饮料,BK0438
32,600850,华东电脑,25.0,19.29,32,2.88,11.66,28,5.26,2.49,277,4.17,电子信息,BK0447
33,600509,天富能源,4.32,19.28,33,9.92,4.47,255,8.0,3.95,148,10.2,电力行业,BK0428
34,000524,岭南控股,8.42,19.24,34,3.31,7.39,105,8.23,3.2,208,8.65,旅游酒店,BK0485
35,200992,中  鲁Ｂ,3.33,19.07,35,3.42,0.38,1000,3.74,-2.32,1725,8.82,农牧饲渔,BK0433
36,002306,ST云网,2.86,19.03,36,1.06,-2.72,2124,0.7,-6.75,3491,-1.72,旅游酒店,BK0485
37,000785,居然之家,8.34,18.82,37,0.24,-2.68,2109,0.24,-5.97,3270,-2.46,商业百货,BK0482
38,603613,国联股份,96.5,18.45,38,3.96,14.7,15,11.77,8.22,36,10.83,电子信息,BK0447
39,600467,好当家,3.18,18.32,39,8.9,7.96,87,10.8,4.93,99,13.98,农牧饲渔,BK0433
40,600129,太极集团,14.95,18.3,40,1.7,1.13,815,4.11,-4.2,2583,0.2,医药制造,BK0465
41,000585,*ST东电,1.87,18.17,41,0.54,-2.56,2062,1.63,0.52,625,-1.06,输配电气,BK0457
42,000711,京蓝科技,3.44,17.7,42,9.9,12.49,22,12.42,8.67,29,10.61,园林工程,BK0726
43,002004,华邦健康,5.63,17.62,43,1.44,7.47,101,4.65,-4.07,2530,-0.35,农药兽药,BK0730
44,000429,粤高速Ａ,6.78,17.62,44,-0.29,-3.81,2512,-0.88,-4.66,2786,-0.88,高速公路,BK0421
45,603396,金辰股份,35.32,17.56,45,10.0,4.64,244,14.82,2.84,239,9.89,专用设备,BK0910
46,002014,永新股份,10.53,17.35,46,-0.28,2.76,486,0.0,0.0,753,-0.19,包装材料,BK0733
47,600233,圆通速递,13.79,17.32,47,2.22,9.86,51,6.82,4.89,101,5.03,交运物流,BK0422
48,600702,ST舍得,64.39,17.18,48,5.01,-0.43,1334,8.11,-7.15,3593,-0.66,酿酒行业,BK0477
49,002176,*ST江特,3.01,16.73,49,4.88,2.77,483,16.22,1.55,403,28.09,机械行业,BK0545
50,603392,万泰生物,188.2,16.69,50,4.09,6.17,147,11.03,-0.08,833,4.5,医药制造,BK0465
51,603966,法兰泰克,14.38,16.62,51,-3.03,5.03,211,-5.33,0.11,715,-7.82,专用设备,BK0910
52,601727,上海电气,5.49,16.55,52,3.39,5.38,183,3.58,2.8,243,4.17,输配电气,BK0457
53,002861,瀛通通讯,24.14,16.06,53,0.58,7.69,95,5.23,3.2,209,3.92,电子元件,BK0459
54,601717,郑煤机,10.65,15.96,54,10.02,5.6,170,9.46,-2.63,1867,-9.59,机械行业,BK0545
55,002392,北京利尔,5.08,15.71,55,1.8,1.21,792,2.01,-2.15,1649,-2.87,材料行业,BK0537
56,002066,瑞泰科技,9.79,15.71,56,3.49,7.34,107,7.23,-0.19,863,3.49,材料行业,BK0537
57,600682,南京新百,12.08,15.68,57,10.02,6.25,142,10.42,3.47,189,12.48,商业百货,BK0482
58,300449,汉邦高科,13.07,14.98,58,-0.98,9.03,66,11.71,7.82,41,19.69,安防设备,BK0735
59,000023,深天地Ａ,17.48,14.94,59,0.92,4.95,216,1.75,0.5,632,-1.02,水泥建材,BK0424
60,600393,粤泰股份,2.98,14.88,60,0.0,7.03,116,4.56,3.65,169,3.83,房地产,BK0451
61,600773,西藏城投,6.3,14.84,61,2.11,2.5,523,1.45,-0.37,935,-0.32,房地产,BK0451
62,603882,金域医学,96.8,14.67,62,2.0,9.19,63,11.26,2.58,266,3.61,医疗行业,BK0727
63,600845,宝信软件,63.98,14.65,63,3.58,-2.39,1995,5.77,-3.03,2049,2.99,软件服务,BK0737
64,603183,建研院,9.33,14.6,64,2.87,-1.12,1570,1.63,-0.42,948,3.21,工程建设,BK0425
65,300390,天华超净,19.11,14.59,65,10.85,5.12,208,8.83,1.89,353,8.83,电子元件,BK0459
66,600651,*ST飞乐,3.64,14.58,66,1.96,-4.74,2836,0.0,2.74,249,8.33,电子元件,BK0459
67,000752,*ST西发,3.8,14.53,67,4.97,7.68,97,9.2,2.5,276,5.26,酿酒行业,BK0477
68,600657,信达地产,4.43,14.51,68,-0.67,0.86,864,-2.21,2.86,238,-1.56,房地产,BK0451
69,600844,丹化科技,4.73,14.47,69,10.0,-1.54,1705,48.74,-0.58,1003,57.14,化工行业,BK0538
70,002501,*ST利源,2.54,14.45,70,4.96,-3.48,2392,27.64,-5.22,3004,44.32,有色金属,BK0478
71,600533,栖霞建设,3.46,14.44,71,2.06,0.81,882,5.17,0.89,540,5.49,房地产,BK0451
72,000869,张  裕Ａ,42.68,14.38,72,10.0,5.34,189,10.54,1.73,376,8.96,酿酒行业,BK0477
73,300685,艾德生物,75.92,14.34,73,0.05,2.26,564,2.82,-0.26,895,-2.4,医药制造,BK0465
74,600603,广汇物流,4.98,14.33,74,-0.4,8.78,70,2.89,4.78,105,3.11,房地产,BK0451
75,200539,粤电力Ｂ,2.25,14.33,75,0.0,6.19,146,0.45,-1.14,1228,0.9,电力行业,BK0428
76,603528,多伦科技,10.9,14.3,76,2.83,-0.8,1450,-0.27,-4.85,2867,-12.59,电子信息,BK0447
77,300604,长川科技,27.5,14.19,77,10.0,11.16,32,17.98,7.41,49,16.23,专用设备,BK0910
78,603329,上海雅仕,14.89,14.01,78,5.3,7.16,112,6.74,0.56,622,-0.53,交运物流,BK0422
79,300768,迪普科技,40.64,14.01,79,1.78,5.25,195,4.15,-3.48,2268,-1.05,通讯行业,BK0448
80,002552,宝鼎科技,14.37,14.01,80,0.07,7.91,90,3.38,2.51,275,0.42,船舶制造,BK0729
81,600746,江苏索普,8.78,13.93,81,10.03,9.49,57,31.44,7.28,52,23.31,化工行业,BK0538
82,300496,中科创达,97.6,13.92,82,7.31,3.84,326,10.54,-1.87,1539,0.37,电子信息,BK0447
83,600108,亚盛集团,3.4,13.77,83,2.1,1.26,778,3.03,-2.65,1875,1.8,农牧饲渔,BK0433
84,600091,ST明科,2.23,13.63,84,0.0,-6.19,3240,-1.33,-3.49,2272,-0.45,化工行业,BK0538
85,000652,泰达股份,4.92,13.6,85,1.23,1.4,750,2.5,-7.66,3693,-1.8,综合行业,BK0539
86,600330,天通股份,10.41,13.48,86,5.15,9.2,62,14.02,5.03,97,8.44,电子元件,BK0459
87,688568,中科星图,56.86,13.48,87,1.7,4.22,283,3.36,4.77,106,2.99,软件服务,BK0737
88,600182,S佳通,17.3,13.46,88,3.9,7.68,98,12.78,-1.14,1226,2.98,汽车行业,BK0481
89,002537,海联金汇,7.64,13.29,89,4.66,2.48,528,8.68,0.63,599,10.89,综合行业,BK0539
90,000702,正虹科技,6.61,13.26,90,5.76,5.66,166,14.96,6.75,59,20.18,农牧饲渔,BK0433
91,600510,黑牡丹,7.84,13.17,91,0.38,-10.5,3933,-1.01,-3.47,2261,-1.51,工程建设,BK0425
92,600280,*ST中商,2.68,13.15,92,5.1,2.89,465,6.35,-0.15,846,10.74,商业百货,BK0482
93,605009,豪悦护理,194.1,13.07,93,2.49,2.08,599,9.0,-1.29,1285,1.27,造纸印刷,BK0470
94,300912,N凯龙,63.03,13.06,94,257.72,13.06,18,257.72,13.06,10,257.72,环保工程,BK0728
95,000007,全新好,8.14,12.97,95,0.0,-7.83,3585,-14.23,0.06,731,-10.84,房地产,BK0451
96,002251,步 步 高,10.44,12.92,96,0.77,0.63,937,-0.48,-0.79,1079,2.25,商业百货,BK0482
97,200869,张  裕Ｂ,15.41,12.81,97,4.9,7.09,114,6.28,4.82,103,8.75,酿酒行业,BK0477
98,002822,中装建设,7.54,12.76,98,-0.26,-2.04,1884,0.0,-0.98,1154,-0.4,装修装饰,BK0725
99,300849,锦盛新材,34.37,12.75,99,6.11,7.21,110,19.84,3.39,198,11.41,包装材料,BK0733
100,600295,鄂尔多斯,12.07,12.73,100,10.03,6.62,127,19.03,0.74,570,9.33,钢铁行业,BK0479
101,002334,英威腾,5.59,12.72,101,2.57,-1.12,1567,3.14,-3.37,2221,0.0,输配电气,BK0457
102,300193,佳士科技,7.9,12.72,102,-1.13,2.1,590,0.13,0.73,575,-4.24,机械行业,BK0545
103,300624,万兴科技,60.59,12.66,103,3.22,3.72,342,7.43,-1.34,1306,1.32,软件服务,BK0737
104,600399,ST抚钢,12.19,12.6,104,5.0,7.68,96,14.03,2.43,283,3.48,钢铁行业,BK0479
105,000547,航天发展,22.73,12.49,105,2.85,4.68,237,4.27,5.49,84,9.12,航天航空,BK0480
106,603290,斯达半导,235.74,12.49,106,10.0,1.25,781,4.77,2.66,255,10.68,电子元件,BK0459
107,600734,*ST实达,1.58,12.48,107,-0.63,-0.36,1309,0.64,0.33,665,0.64,电子元件,BK0459
108,688023,安恒信息,244.65,12.38,108,-1.45,10.57,36,1.94,6.78,58,3.01,电子信息,BK0447
109,300526,中潜股份,60.09,12.37,109,0.82,10.72,35,0.07,7.53,44,1.62,专用设备,BK0910
110,300503,昊志机电,18.4,12.27,110,-0.97,5.75,164,-3.56,7.82,42,-7.3,机械行业,BK0545
111,002285,世联行,5.17,12.11,111,0.98,-5.36,3004,-2.45,-10.17,4019,-16.21,房地产,BK0451
112,600588,用友网络,45.98,11.91,112,4.24,7.2,111,5.22,0.48,634,2.68,软件服务,BK0737
113,300692,中环环保,15.75,11.89,113,6.28,9.92,48,13.31,4.31,130,8.32,环保工程,BK0728
114,000530,冰山冷热,3.89,11.83,114,1.04,-3.41,2369,1.83,-2.67,1882,1.04,机械行业,BK0545
115,002096,南岭民爆,14.75,11.76,115,4.02,8.53,73,0.55,7.43,47,-5.51,化工行业,BK0538
116,000881,中广核技,9.19,11.73,116,2.22,0.24,1041,2.22,-2.57,1842,0.33,综合行业,BK0539
117,600251,冠农股份,7.35,11.68,117,1.94,-0.52,1362,2.8,-1.04,1189,1.38,农牧饲渔,BK0433
118,002371,北方华创,175.8,11.67,118,6.3,-0.95,1513,2.21,-2.54,1830,-0.21,电子元件,BK0459
119,603320,迪贝电气,13.3,11.67,119,2.62,5.2,198,3.34,6.29,66,3.99,机械行业,BK0545
120,002255,*ST海陆,4.32,11.66,120,0.47,-9.31,3806,-2.26,-4.99,2921,-2.04,机械行业,BK0545
121,600766,园城黄金,6.97,11.58,121,0.58,1.38,753,1.75,-5.25,3014,-2.38,贵金属,BK0732
122,002562,兄弟科技,5.99,11.54,122,2.92,-0.88,1487,2.22,-3.15,2113,1.18,医药制造,BK0465
123,603916,苏博特,25.56,11.48,123,0.55,2.06,607,-0.23,-0.32,919,-3.26,化工行业,BK0538
124,600365,ST通葡,2.39,11.42,124,2.14,6.59,128,2.58,-2.3,1710,-3.63,酿酒行业,BK0477
125,000936,华西股份,7.98,11.37,125,3.1,-1.76,1787,1.79,2.69,253,5.0,化纤行业,BK0471
126,600539,ST狮头,7.05,11.34,126,-0.84,-6.23,3250,-0.98,-7.75,3722,-1.54,家电行业,BK0456
127,300258,精锻科技,16.65,11.25,127,4.06,-0.05,1209,-1.83,-4.29,2617,-18.26,汽车行业,BK0481
128,000096,广聚能源,10.1,11.21,128,-0.98,0.94,852,-0.49,1.96,345,-1.85,石油行业,BK0464
129,002830,名雕股份,12.56,11.19,129,1.13,2.06,608,4.67,1.25,460,3.54,装修装饰,BK0725
130,000970,中科三环,10.12,11.15,130,2.85,-0.93,1509,2.12,-1.78,1497,1.4,电子元件,BK0459
131,200012,南  玻Ｂ,2.72,11.1,131,0.74,-2.86,2185,2.64,-5.96,3264,1.12,玻璃陶瓷,BK0546
132,002850,科达利,70.61,11.09,132,4.07,-3.43,2375,2.33,-2.47,1794,-2.19,金属制品,BK0739
133,000606,顺利办,4.18,11.05,133,2.7,1.41,747,3.72,3.0,224,5.29,软件服务,BK0737
134,000831,五矿稀土,14.77,11.04,134,3.29,0.08,1093,1.37,-0.74,1061,1.03,有色金属,BK0478
135,300346,南大光电,34.63,11.04,135,2.88,-2.62,2081,0.32,-1.95,1567,3.62,材料行业,BK0537
136,603300,华铁应急,6.31,11.02,136,-0.47,-13.91,4118,0.48,-11.04,4077,-1.1,多元金融,BK0738
137,002845,同兴达,30.5,10.99,137,2.73,3.11,422,5.46,1.78,368,4.38,电子元件,BK0459
138,300799,左江科技,64.08,10.99,138,8.35,4.21,284,7.79,-2.43,1777,-5.18,电子信息,BK0447
139,600086,*ST金钰,0.97,10.97,139,5.43,-1.37,1649,3.19,-3.3,2190,0.0,珠宝首饰,BK0734
140,002189,中光学,17.79,10.97,140,0.96,4.12,298,3.97,-1.55,1403,0.74,电子元件,BK0459
141,603959,百利科技,12.13,10.96,141,0.33,4.91,220,6.78,-1.04,1190,-2.73,工程建设,BK0425
142,300477,合纵科技,6.39,10.92,142,2.9,-6.59,3331,2.9,-7.93,3752,-10.63,输配电气,BK0457
143,000710,贝瑞基因,44.73,10.89,143,1.31,4.81,229,8.91,0.27,675,0.29,医疗行业,BK0727
144,600183,生益科技,30.26,10.85,144,2.82,8.4,77,8.42,6.04,75,13.63,电子元件,BK0459
145,000997,新 大 陆,15.8,10.84,145,0.57,0.73,912,3.27,-2.76,1927,1.28,电子信息,BK0447
146,600429,三元股份,5.2,10.84,146,0.39,1.39,752,0.97,-1.02,1180,-1.89,食品饮料,BK0438
147,000836,富通鑫茂,3.18,10.8,147,0.95,6.48,136,2.91,-2.69,1891,0.95,通讯行业,BK0448
148,603267,鸿远电子,108.4,10.79,148,4.0,2.37,548,15.11,-0.7,1048,13.33,电子元件,BK0459
149,000726,鲁  泰Ａ,7.08,10.77,149,-0.28,9.57,55,2.16,5.34,88,2.76,纺织服装,BK0436
150,300674,宇信科技,37.99,10.75,150,2.12,3.79,330,5.12,4.43,125,13.47,软件服务,BK0737
151,002283,天润工业,6.73,10.74,151,1.51,0.24,1040,-0.3,-4.63,2773,-7.93,汽车行业,BK0481
152,603555,*ST贵人,2.61,10.74,152,4.82,6.9,118,17.04,4.7,110,21.4,纺织服装,BK0436
153,000786,北新建材,39.62,10.73,153,1.59,0.39,990,1.59,-1.11,1211,-4.53,水泥建材,BK0424
154,002908,德生科技,13.92,10.64,154,0.14,1.96,621,1.02,3.21,207,5.45,电子信息,BK0447
155,300518,盛讯达,42.5,10.52,155,1.53,3.85,325,8.72,-2.27,1703,-1.71,软件服务,BK0737
156,002848,高斯贝尔,12.29,10.51,156,4.51,4.39,264,9.15,3.73,164,11.32,通讯行业,BK0448
157,601158,重庆水务,5.33,10.5,157,-0.56,0.07,1099,-0.93,2.32,295,-0.93,公用事业,BK0427
158,002355,兴民智通,6.72,10.49,158,3.38,-1.71,1766,8.39,0.13,710,13.9,汽车行业,BK0481
159,002409,雅克科技,62.25,10.42,159,5.28,1.66,693,6.63,-1.83,1522,2.17,化工行业,BK0538
160,688013,天臣医疗,38.0,10.42,160,2.87,-3.7,2464,1.55,-7.55,3672,-9.74,医疗行业,BK0727
161,200771,杭汽轮Ｂ,9.51,10.38,161,0.85,7.36,106,7.46,1.17,473,5.08,机械行业,BK0545
162,603979,金诚信,11.62,10.36,162,1.04,-2.57,2069,-2.27,-2.04,1597,-5.76,工程建设,BK0425
163,601888,中国中免,207.75,10.35,163,5.76,2.76,484,7.53,4.62,114,10.57,旅游酒店,BK0485
164,600463,空港股份,6.87,10.31,164,0.0,4.3,273,2.84,4.81,104,1.78,房地产,BK0451
165,002575,*ST群兴,3.16,10.3,165,0.0,-18.7,4197,-9.71,-21.73,4220,-21.0,文教休闲,BK0740
166,300094,国联水产,6.78,10.27,166,20.0,-0.29,1288,16.9,0.96,520,55.15,农牧饲渔,BK0433
167,300357,我武生物,66.8,10.22,167,5.86,5.1,210,14.27,1.92,349,14.74,医药制造,BK0465
168,002410,广联达,69.33,10.16,168,4.49,3.24,403,3.32,1.67,383,2.47,软件服务,BK0737
169,688368,晶丰明源,201.0,10.12,169,-1.53,2.5,524,2.55,-1.58,1418,11.06,电子元件,BK0459
170,688127,蓝特光学,30.18,10.03,170,2.55,-0.98,1524,-0.46,-2.42,1771,-3.89,电子元件,BK0459
171,688590,N新致,26.96,9.99,171,151.26,9.99,47,151.26,9.99,19,151.26,软件服务,BK0737
172,600675,中华企业,3.77,9.96,172,0.0,1.12,817,1.34,-2.56,1840,-2.33,房地产,BK0451
173,002002,鸿达兴业,3.9,9.95,173,-1.02,-8.93,3765,-3.23,-7.33,3634,-4.88,化工行业,BK0538
174,603601,再升科技,15.18,9.92,174,3.97,5.19,199,7.97,1.52,409,6.6,材料行业,BK0537
175,300570,太辰光,20.75,9.91,175,7.35,-0.58,1372,3.54,0.41,647,8.64,电子元件,BK0459
176,600782,新钢股份,4.65,9.9,176,0.43,-8.6,3724,0.65,-5.8,3200,-0.85,钢铁行业,BK0479
177,300777,中简科技,47.9,9.9,177,2.11,-0.23,1270,4.47,0.11,716,2.64,材料行业,BK0537
178,600156,华升股份,4.66,9.86,178,1.75,0.22,1050,2.87,-4.65,2780,-1.06,纺织服装,BK0436
179,603606,东方电缆,22.25,9.85,179,1.83,1.42,743,4.46,-1.13,1219,0.91,输配电气,BK0457
180,002749,国光股份,12.55,9.71,180,1.21,3.54,364,4.24,-0.75,1070,1.95,农药兽药,BK0730
181,002589,瑞康医药,5.82,9.63,181,0.69,5.11,209,3.37,1.75,374,2.65,医药制造,BK0465
182,600857,宁波中百,9.02,9.63,182,0.33,1.28,773,0.0,1.1,486,-1.42,商业百货,BK0482
183,600595,ST中孚,2.69,9.6,183,3.46,1.81,653,4.67,-1.69,1458,5.08,有色金属,BK0478
184,000733,振华科技,46.65,9.58,184,2.98,2.95,452,0.86,3.78,159,6.63,电子元件,BK0459
185,688301,奕瑞科技,207.28,9.58,185,3.38,4.34,269,9.67,-1.41,1349,0.93,专用设备,BK0910
186,603005,晶方科技,72.92,9.53,186,3.56,-1.72,1774,1.56,-2.08,1619,3.56,电子元件,BK0459
187,603351,威尔药业,25.0,9.51,187,2.67,5.58,171,5.75,-1.57,1412,2.21,医药制造,BK0465
188,601789,宁波建工,4.34,9.5,188,1.4,-1.59,1719,1.17,-4.41,2665,-0.23,工程建设,BK0425
189,300021,大禹节水,5.52,9.47,189,2.03,-4.96,2888,1.28,-4.54,2731,-1.43,农牧饲渔,BK0433
190,002746,仙坛股份,12.56,9.47,190,3.37,1.92,629,4.32,1.3,449,5.02,农牧饲渔,BK0433
191,600378,昊华科技,20.82,9.43,191,1.56,-1.31,1636,0.24,-3.9,2456,-1.79,化工行业,BK0538
192,300238,冠昊生物,27.25,9.39,192,4.57,3.69,346,12.42,-1.63,1435,-1.09,医疗行业,BK0727
193,300224,正海磁材,11.61,9.36,193,2.65,-1.08,1556,-0.85,-1.98,1579,-5.22,材料行业,BK0537
194,002081,金 螳 螂,10.59,9.36,194,1.73,-4.53,2761,-0.28,-7.19,3598,-5.02,装修装饰,BK0725
195,300791,仙乐健康,88.54,9.36,195,-3.13,-2.12,1913,2.24,-0.2,868,-3.85,食品饮料,BK0438
196,600080,ST金花,6.1,9.35,196,-0.33,-0.19,1260,0.0,0.18,699,3.39,医药制造,BK0465
197,600493,凤竹纺织,5.51,9.33,197,0.18,-14.05,4122,1.1,-19.05,4215,-5.16,纺织服装,BK0436
198,000410,*ST沈机,4.28,9.3,198,-0.47,-15.03,4142,-1.61,-4.04,2517,2.15,机械行业,BK0545
199,000833,粤桂股份,4.82,9.22,199,1.05,1.7,678,2.55,1.67,384,1.69,综合行业,BK0539
200,002821,凯莱英,269.58,9.19,200,2.5,7.9,91,12.18,1.02,509,6.97,医疗行业,BK0727
201,300382,斯莱克,8.83,9.15,201,2.32,-3.81,2511,-1.01,-5.0,2926,-0.79,机械行业,BK0545
202,300593,新雷能,24.73,9.14,202,12.92,1.69,680,7.2,1.51,411,15.02,机械行业,BK0545
203,300543,朗科智能,15.7,9.12,203,3.29,-0.92,1507,4.46,-6.08,3304,-0.63,电子信息,BK0447
204,002644,佛慈制药,7.75,9.12,204,-0.51,0.43,983,0.26,-1.7,1466,-0.51,医药制造,BK0465
205,002913,奥士康,62.55,9.12,205,0.4,6.53,132,4.18,5.86,78,5.91,电子元件,BK0459
206,002506,协鑫集成,4.52,9.11,206,8.65,3.78,331,13.57,1.47,416,21.83,电子元件,BK0459
207,601686,友发集团,16.95,9.11,207,-8.48,10.92,34,31.8,10.92,16,31.8,金属制品,BK0739
208,000762,西藏矿业,12.7,9.11,208,2.83,1.93,627,0.4,-2.54,1828,-2.46,有色金属,BK0478
209,688569,铁科轨道,23.7,9.1,209,1.02,-0.73,1426,0.47,-4.24,2598,-2.95,机械行业,BK0545
210,900918,耀皮Ｂ股,0.425,9.1,210,2.16,3.87,320,2.91,1.81,365,-4.28,玻璃陶瓷,BK0546
211,002594,比亚迪,175.29,9.07,211,2.0,-1.61,1727,1.82,-3.58,2304,-4.84,汽车行业,BK0481
212,603685,晨丰科技,12.49,9.0,212,-0.4,-0.61,1389,-2.5,-1.09,1206,-1.96,家电行业,BK0456
213,600503,华丽家族,4.08,8.99,213,2.51,-0.43,1326,2.0,-1.38,1325,5.15,房地产,BK0451
214,603776,永安行,19.65,8.96,214,1.45,-3.09,2259,2.08,-2.17,1662,-1.95,交运设备,BK0429
215,601098,中南传媒,10.63,8.94,215,-1.02,0.52,959,-1.21,-0.19,862,-1.85,文化传媒,BK0486
216,002047,宝鹰股份,4.45,8.77,216,3.25,2.95,450,5.7,-0.67,1032,7.75,装修装饰,BK0725
217,600819,耀皮玻璃,5.09,8.74,217,3.25,4.22,282,7.16,-0.89,1122,3.67,玻璃陶瓷,BK0546
218,003021,兆威机电,97.35,8.74,218,-10.0,10.16,45,29.59,10.16,17,29.59,机械行业,BK0545
219,600064,南京高科,10.47,8.73,219,-0.29,-1.12,1569,-0.48,1.52,410,0.67,房地产,BK0451
220,002517,恺英网络,4.82,8.7,220,4.1,-10.61,3939,-1.03,-13.75,4166,-4.55,电子信息,BK0447
221,688020,方邦股份,96.25,8.67,221,4.1,2.63,503,1.26,0.0,754,0.77,材料行业,BK0537
222,300575,中旗股份,40.41,8.6,222,3.14,1.0,838,1.35,1.43,424,6.4,农药兽药,BK0730
223,688186,广大特材,36.74,8.6,223,-0.11,3.38,380,3.76,-3.62,2337,-0.97,金属制品,BK0739
224,603757,大元泵业,19.78,8.59,224,0.87,-13.3,4094,-2.18,-13.11,4149,-14.07,机械行业,BK0545
225,002762,金发拉比,5.75,8.56,225,1.23,2.76,485,3.23,-3.8,2419,-2.87,纺织服装,BK0436
226,603668,天马科技,9.41,8.55,226,4.32,4.97,213,7.54,3.17,214,6.33,农牧饲渔,BK0433
227,603221,爱丽家居,14.5,8.55,227,1.54,-0.43,1330,4.77,2.23,303,6.54,木业家具,BK0476
228,603127,昭衍新药,98.99,8.54,228,2.73,8.16,83,8.83,4.49,121,1.82,医疗行业,BK0727
229,688516,奥特维,80.39,8.51,229,4.06,6.46,137,7.96,1.06,495,11.05,专用设备,BK0910
230,300218,安利股份,12.59,8.5,230,0.08,-5.3,2993,0.64,-3.27,2180,1.21,化工行业,BK0538
231,900905,老凤祥Ｂ,2.929,8.49,231,-0.03,-6.63,3343,0.72,-10.97,4068,-1.71,珠宝首饰,BK0734
232,600289,*ST信通,4.18,8.43,232,3.21,9.76,52,14.84,8.22,35,31.03,软件服务,BK0737
233,603338,浙江鼎力,106.13,8.38,233,1.09,-0.49,1353,2.54,0.89,542,2.44,机械行业,BK0545
234,688169,石头科技,903.51,8.38,234,1.75,7.95,88,14.02,5.63,82,13.01,家电行业,BK0456
235,300120,经纬辉开,12.09,8.36,235,5.41,-2.1,1905,3.25,-7.08,3575,-8.75,电子元件,BK0459
236,688018,乐鑫科技,152.22,8.36,236,-0.52,0.31,1017,-1.48,0.13,712,-5.95,电子元件,BK0459
237,605007,五洲特纸,27.65,8.35,237,2.26,-1.4,1660,2.41,0.07,727,6.1,造纸印刷,BK0470
238,600719,大连热电,3.95,8.34,238,-0.25,-10.24,3915,-0.75,-3.15,2119,-2.23,电力行业,BK0428
