序号,代码,名称,最新价,今日主力净占比 %,今日排名,今日涨跌 %,5日主力净占比 %,5日排名,5日涨跌 %,10日主力净占比 %,10日排名,10日涨跌 %,所属板块,板块代码
1,605183,N确成,20.71,93.98,1,44.02,93.98,1,44.02,93.98,1,44.02,化工行业,BK0538
2,605258,协和电子,46.29,87.36,2,10.0,86.33,2,74.28,86.33,2,74.28,电子元件,BK0459
3,605266,健之佳,153.68,70.11,3,10.0,77.5,3,110.84,77.5,3,110.84,医疗行业,BK0727
4,200168,*ST舜喆B,1.16,67.17,4,-1.69,18.25,9,-0.85,21.18,5,-0.85,珠宝首饰,BK0734
5,601011,宝泰隆,4.19,48.67,5,9.97,6.78,123,6.89,0.53,624,5.81,煤炭采选,BK0437
6,002696,百洋股份,6.8,43.6,6,10.03,14.04,16,12.4,8.08,37,15.25,农牧饲渔,BK0433
7,002636,金安国纪,11.08,40.39,7,10.03,29.8,4,37.81,23.04,4,36.96,电子元件,BK0459
8,000616,海航投资,2.97,39.51,8,10.0,12.32,24,12.5,5.71,81,10.82,房地产,BK0451
9,000850,华茂股份,4.62,38.25,9,10.0,19.34,6,13.24,9.71,23,9.74,纺织服装,BK0436
10,000536,*ST华映,2.45,37.91,10,5.15,4.57,248,10.86,3.07,220,17.79,电子元件,BK0459
11,002006,精功科技,5.64,36.71,11,9.94,17.39,11,11.68,10.15,18,14.87,机械行业,BK0545
12,002196,方正电机,8.97,33.88,12,10.06,3.54,363,34.48,0.76,567,23.55,机械行业,BK0545
13,002447,*ST晨鑫,2.46,32.25,13,5.13,11.05,33,12.33,-2.18,1664,3.36,软件服务,BK0737
14,002350,北京科锐,6.18,32.22,14,9.96,7.43,104,11.96,7.98,39,15.51,输配电气,BK0457
15,002069,獐子岛,4.73,29.09,15,10.0,5.18,200,7.5,5.09,95,24.47,农牧饲渔,BK0433
16,600257,大湖股份,5.5,28.83,16,10.0,5.45,177,12.02,1.75,372,11.56,农牧饲渔,BK0433
17,200521,虹美菱B,2.13,28.03,17,1.43,8.17,82,1.43,6.72,60,2.9,家电行业,BK0456
