序号,代码,名称,最新价,今日主力净占比 %,今日排名,今日涨跌 %,5日主力净占比 %,5日排名,5日涨跌 %,10日主力净占比 %,10日排名,10日涨跌 %,所属板块,板块代码
161,538,云南白药,101.15,11.8,161,2.63,2.62,531,4.98,-1.33,1377,3.37,医药制造,BK0465
162,600572,康恩贝,5.27,11.79,162,2.13,2.15,623,2.93,-1.35,1386,3.54,医药制造,BK0465
163,2346,柘中股份,11.07,11.78,163,2.5,0.64,1003,1.56,1.44,439,6.03,输配电气,BK0457
164,678,襄阳轴承,5.07,11.77,164,1,-3.12,2445,0.6,-7.93,3825,-7.82,汽车行业,BK0481
165,603439,贵州三力,26.65,11.76,165,9.99,11.22,32,37.37,8.29,29,32.26,医药制造,BK0465
166,2270,华明装备,5.94,11.75,166,1.89,2.19,614,2.41,-7.94,3830,-1.16,专用设备,BK0910
167,2960,青鸟消防,40.57,11.74,167,2.68,4.09,310,2.19,1.19,494,7.53,电子信息,BK0447
168,300124,汇川技术,85.47,11.7,168,5.47,4.03,314,9.86,1.86,370,6.49,仪器仪表,BK0458
169,600993,马应龙,21.39,11.7,169,2.94,1.25,839,4.39,-0.76,1148,4.09,医药制造,BK0465
170,300233,金城医药,23.65,11.69,170,4.14,5.13,213,10.31,2.08,339,5.44,医药制造,BK0465
171,603100,川仪股份,12.02,11.63,171,3.8,-7.38,3639,-12.9,-2.7,1989,-5.5,仪器仪表,BK0458
172,2282,博深股份,10.85,11.59,172,2.07,-3.19,2472,0.84,-4.76,2966,-2.86,机械行业,BK0545
173,600838,上海九百,7.56,11.59,173,0.8,-6.54,3495,-3.82,0.73,590,-1.95,商业百货,BK0482
174,300625,三雄极光,17.93,11.57,174,1.53,2.05,651,3.64,-2.83,2067,-0.88,电子元件,BK0459
175,2141,贤丰控股,2.79,11.54,175,1.09,-0.77,1551,-0.36,0.92,549,2.57,金属制品,BK0739
176,300600,国瑞科技,23.29,11.47,176,0.3,3.92,325,-1.56,4.82,103,1.57,船舶制造,BK0729
177,603416,信捷电气,86.79,11.34,177,2.6,-9.53,3894,0.68,-5.85,3364,-0.64,仪器仪表,BK0458
178,88,盐 田 港,6.85,11.31,178,1.33,-5.9,3349,-1.58,-3.85,2579,-3.93,港口水运,BK0450
179,300453,三鑫医疗,16.02,11.29,179,3.09,4.42,272,9.5,-1.9,1629,0.75,医疗行业,BK0727
180,688788,科思科技,240,11.29,180,5.45,-1.68,1909,7.37,-1.6,1496,14.29,电子信息,BK0447
181,2356,*ST赫美,1.24,11.25,181,1.64,2.5,553,0,-0.45,1021,8.77,商业百货,BK0482
182,600488,天药股份,5.14,11.2,182,1.18,-4.33,2862,-0.58,-2.21,1765,-0.58,医药制造,BK0465
183,603007,花王股份,6.75,11.2,183,3.69,3.35,407,2.43,1.59,416,2.74,园林工程,BK0726
184,2418,*ST康盛,1.95,11.17,184,3.72,1.28,827,5.98,-9.28,3994,0,金属制品,BK0739
185,603225,新凤鸣,12.33,11.16,185,0.33,1.37,806,-3.82,-4.02,2648,-5.88,化纤行业,BK0471
186,23,深天地Ａ,17.32,11.15,186,0,0.4,1078,1.41,-1.15,1298,-2.97,水泥建材,BK0424
187,300755,华致酒行,29.05,11.14,187,4.57,-1.57,1865,3.05,-5.47,3222,-0.75,酿酒行业,BK0477
188,2466,天齐锂业,27.21,11.09,188,7.13,-0.28,1378,4.77,1.41,444,16.88,化工行业,BK0538
189,600764,中国海防,34.5,11.09,189,6.12,-1.75,1937,5.6,-2.68,1975,2.83,安防设备,BK0735
190,200541,粤照明Ｂ,3.03,11.01,190,1.34,11.39,31,15.21,9.66,24,18.82,电子元件,BK0459
191,2203,海亮股份,8.51,10.95,191,1.79,1.51,773,2.04,1.35,457,2.41,有色金属,BK0478
192,603599,广信股份,22.36,10.92,192,1.36,-0.23,1353,-1.84,-7.75,3792,-11.69,农药兽药,BK0730
193,603002,宏昌电子,6.28,10.86,193,6.8,2.93,473,6.26,-3.84,2572,-4.12,化工行业,BK0538
194,600133,东湖高新,6.15,10.85,194,1.32,-0.71,1521,2.16,-0.67,1099,4.24,工程建设,BK0425
195,547,航天发展,22.1,10.8,195,2.98,5.54,178,5.64,4.18,139,4.49,航天航空,BK0480
196,600794,保税科技,3.41,10.79,196,0.29,2.55,542,1.79,-1.81,1587,0.59,交运物流,BK0422
197,2835,同为股份,14.47,10.78,197,1.19,0.39,1080,0.91,-7.26,3694,-7.42,电子信息,BK0447
198,601880,大连港,2.04,10.73,198,0,2.24,607,3.55,-2.81,2053,0,港口水运,BK0450
199,2949,华阳国际,22.6,10.72,199,4,2.93,476,4,0.59,623,-2.88,工程建设,BK0425
200,603755,日辰股份,70.83,10.66,200,10,4.17,296,17.23,-3.67,2503,7.16,食品饮料,BK0438
201,2494,华斯股份,4.58,10.65,201,0.88,1.04,894,3.15,-2.34,1812,2.69,纺织服装,BK0436
202,600521,华海药业,34.78,10.61,202,6,6.69,128,15.97,1.83,375,10.06,医药制造,BK0465
203,600071,凤凰光学,10.18,10.61,203,3.04,6.72,126,4.84,-1.1,1277,0.79,仪器仪表,BK0458
204,2017,东信和平,10.98,10.61,204,0.92,3.69,358,3.49,0.41,691,2.04,通讯行业,BK0448
205,603797,联泰环保,8.63,10.59,205,0.35,3.76,348,4.73,0.56,634,3.11,环保工程,BK0728
206,155,川能动力,6.46,10.58,206,2.05,-10.33,3967,-9.78,-4.72,2947,-10.77,电力行业,BK0428
207,600305,恒顺醋业,22.4,10.52,207,5.76,8.72,66,11.44,-1.49,1446,6.41,食品饮料,BK0438
208,963,华东医药,29.33,10.5,208,1.07,-1.61,1885,3.6,-7.91,3823,-4.93,医药制造,BK0465
209,600276,恒瑞医药,91.32,10.38,209,1.48,5.73,167,5.03,0.94,543,5.07,医药制造,BK0465
210,158,常山北明,7.49,10.38,210,0.81,11.05,35,8.55,4.75,106,4.32,综合行业,BK0539
211,655,金岭矿业,8.33,10.34,211,6.52,7.47,102,18.16,2.84,247,15.69,钢铁行业,BK0479
212,600647,同达创业,13.8,10.3,212,1.25,6.22,149,4.62,2.98,232,2.53,综合行业,BK0539
213,2138,顺络电子,27.19,10.23,213,2.6,1.18,852,3.94,0.8,573,5.31,电子元件,BK0459
214,603486,科沃斯,67.46,10.23,214,0.69,0.72,988,2.62,-2.2,1760,-7.13,家电行业,BK0456
215,601717,郑煤机,9.68,10.2,215,3.09,2.31,590,-2.71,-5.97,3400,-19.8,机械行业,BK0545
216,419,通程控股,5.14,10.19,216,3.21,-2.65,2263,5.11,0.04,804,5.98,商业百货,BK0482
217,2694,顾地科技,2.99,10.12,217,5.65,1.42,790,6.41,-2.89,2095,4.18,塑胶制品,BK0454
218,688023,安恒信息,248.24,10.11,218,-0.31,7.18,109,0.71,4.52,121,3.18,电子信息,BK0447
219,830,鲁西化工,13.25,10.1,219,7.99,1.88,689,6.08,1.63,406,6.68,化肥行业,BK0731
220,603351,威尔药业,24.35,10.08,220,2.27,1.6,749,3.27,-4.47,2849,-1.1,医药制造,BK0465
221,2730,电光科技,12.11,10.06,221,1.51,7.07,114,-0.08,5.95,66,-2.42,专用设备,BK0910
222,636,风华高科,36.3,10.05,222,3.07,5.38,191,9.63,2.36,300,8.68,电子元件,BK0459
223,2665,首航高科,2.5,10.04,223,-0.79,10.71,40,2.46,5.41,77,2.04,机械行业,BK0545
224,300369,绿盟科技,16.79,10.04,224,1.88,3.25,421,6.54,-0.53,1046,-2.21,软件服务,BK0737
225,688018,乐鑫科技,153.02,10.03,225,-1.35,0.36,1088,0.13,-2.82,2065,-6.8,电子元件,BK0459
226,639,西王食品,5.97,9.97,226,1.36,1.75,720,0.17,-3.29,2323,-6.72,食品饮料,BK0438
227,300610,晨化股份,18.41,9.96,227,0.77,2.63,527,3.95,-4.03,2658,-3.51,化工行业,BK0538
228,600506,香梨股份,10.29,9.95,228,1.38,3.23,427,5,1.1,511,3.83,农牧饲渔,BK0433
229,600429,三元股份,5.18,9.94,229,0.78,-2.49,2214,-0.38,-3.43,2394,-3,食品饮料,BK0438
230,516,国际医学,8.9,9.93,230,3.01,-4.88,3040,0.34,-1.07,1263,5.83,医疗行业,BK0727
231,2552,宝鼎科技,14.36,9.92,231,2.5,3.48,390,2.21,1.16,497,0.21,船舶制造,BK0729
232,886,海南高速,5.7,9.89,232,1.42,8.39,77,11.55,5.34,84,14.69,房地产,BK0451
233,2079,苏州固锝,11.55,9.86,233,4.15,0.53,1033,4.43,-1.2,1314,7.04,电子元件,BK0459
234,600603,广汇物流,5,9.86,234,-0.2,6.78,123,4.38,4.07,144,4.38,房地产,BK0451
235,2977,天箭科技,131.24,9.85,235,4.18,5.35,193,7,3.23,203,14.1,电子信息,BK0447
236,600419,天润乳业,14.93,9.84,236,2.61,2.11,633,2.75,-4.72,2949,2.12,食品饮料,BK0438
237,300347,泰格医药,130,9.8,237,6.04,5.69,171,14.14,0.11,782,10.17,医药制造,BK0465
238,601899,紫金矿业,9.13,9.76,238,3.05,-1.59,1877,2.01,-3.4,2379,1.67,贵金属,BK0732
239,600777,新潮能源,1.72,9.74,239,2.38,2.61,533,3.61,0.32,719,4.24,石油行业,BK0464
240,600795,国电电力,2.16,9.74,240,-0.92,19.84,8,0,16.13,9,1.41,电力行业,BK0428
241,600246,万通发展,7.92,9.73,241,2.33,2.86,488,13.79,-2.37,1822,8.49,房地产,BK0451
242,2770,ST科迪,2.01,9.7,242,1.52,2.58,539,-0.5,-5.44,3210,-2.43,食品饮料,BK0438
243,600555,*ST海创,1.74,9.69,243,1.75,4.96,225,4.19,-6.61,3569,1.75,旅游酒店,BK0485
244,600887,伊利股份,39.79,9.66,244,2.18,2.25,605,3.89,-2.87,2088,1.43,食品饮料,BK0438
245,603508,思维列控,29.06,9.66,245,0.9,2.76,500,5.25,1.98,352,4.49,电子信息,BK0447
246,836,富通鑫茂,3.15,9.62,246,0,2.62,529,1.61,-3.48,2418,0.64,通讯行业,BK0448
247,869,张  裕Ａ,38.8,9.62,247,4.55,2.23,610,6.56,-2.64,1957,-0.1,酿酒行业,BK0477
248,688169,石头科技,888,9.59,248,3.89,8.56,74,13.58,4.06,146,6.35,家电行业,BK0456
249,600300,维维股份,4.04,9.58,249,3.59,-1.52,1839,5.21,-9.84,4026,-5.61,食品饮料,BK0438
250,300449,汉邦高科,13.2,9.58,250,2.33,7.67,92,21.32,6.03,64,20.88,安防设备,BK0735
